genre,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,valence,tempo
country,6,1,4,0.0951,0.561,0.536,0,0.114,-6.227,0.378,150.014
country,6,1,4,0.369,0.614,0.68,1.84E-06,0.115,-4.58,0.707,149.959
country,11,0,4,0.279,0.612,0.57,0,0.0963,-6.642,0.335,77.004
country,2,1,4,0.225,0.554,0.755,0,0.301,-6.04,0.624,77.962
country,1,1,4,0.0138,0.54,0.863,0,0.0874,-4.483,0.64,77
country,0,1,4,0.0808,0.565,0.805,0,0.173,-4.457,0.869,76.04
country,7,1,4,0.657,0.631,0.591,0,0.11,-5.785,0.489,97.074
country,9,1,4,0.205,0.392,0.37,0.0096,0.0821,-10.888,0.512,48.718
country,5,1,4,0.447,0.732,0.458,0,0.136,-7.225,0.661,98.938
country,10,1,4,0.0153,0.464,0.813,0,0.254,-6.185,0.516,75.975
country,1,1,4,0.356,0.616,0.438,0,0.24,-5.968,0.386,135.929
country,9,1,4,0.263,0.677,0.556,0,0.105,-6.544,0.521,80.009
country,8,1,4,0.46,0.701,0.5,0,0.234,-8.82,0.409,97.028
country,9,1,4,0.749,0.655,0.56,0,0.115,-6.857,0.599,140.975
country,6,1,4,0.0533,0.878,0.619,0,0.113,-5.56,0.639,136.041
country,2,1,4,0.418,0.595,0.389,1.39E-06,0.116,-9.245,0.4,166.052
country,11,1,4,0.0292,0.533,0.907,0,0.386,-3.793,0.7,150.99
country,10,1,4,0.00898,0.612,0.799,0,0.172,-4.603,0.687,125.976
country,10,1,4,0.0608,0.538,0.752,5.39E-06,0.118,-5.106,0.217,139.984
country,0,1,4,0.016,0.576,0.724,0,0.107,-5.147,0.34,93.029
country,6,1,4,0.013,0.551,0.801,6.03E-06,0.265,-5.069,0.625,128.027
country,11,1,4,0.17,0.687,0.641,0,0.111,-5.814,0.663,120.04
country,5,0,4,0.22,0.717,0.598,0,0.122,-5.613,0.496,153.905
country,4,1,4,0.737,0.466,0.672,0,0.0858,-5.926,0.334,89.081
country,0,1,4,0.111,0.463,0.653,0.000136,0.172,-5.515,0.233,143.912
country,8,1,4,0.4,0.634,0.516,0,0.142,-6.05,0.769,153.831
country,11,1,4,0.0916,0.506,0.886,0,0.0734,-3.225,0.595,143.935
country,0,1,4,0.111,0.413,0.428,0,0.114,-7.414,0.391,79.985
country,6,1,4,0.645,0.566,0.713,0,0.114,-4.25,0.807,169.864
country,9,1,4,0.323,0.606,0.652,0,0.201,-6.982,0.476,97.155
country,2,1,4,0.0272,0.739,0.85,0,0.181,-3.966,0.883,113
country,8,0,4,0.0649,0.484,0.903,0,0.151,-3.9,0.716,169.948
country,9,1,4,0.455,0.537,0.66,0,0.135,-7.174,0.574,148.096
country,2,1,4,0.129,0.739,0.682,0,0.328,-3.728,0.634,131.983
country,3,1,4,0.0791,0.362,0.882,0,0.15,-3.717,0.864,199.811
country,1,1,4,0.602,0.593,0.81,0,0.119,-5.733,0.712,144.011
country,11,0,4,0.286,0.561,0.597,0,0.0979,-6,0.355,76.826
country,2,1,4,0.347,0.68,0.741,1.87E-06,0.117,-5.055,0.635,127.024
country,6,1,4,0.036,0.445,0.492,0,0.122,-5.717,0.24,148.013
country,9,1,4,0.0361,0.621,0.791,0,0.143,-3.343,0.734,95.075
country,9,1,4,0.0724,0.6,0.698,1.64E-06,0.113,-5.86,0.57,140.032
country,11,1,4,0.0312,0.489,0.581,0,0.132,-5.731,0.494,86.016
country,1,1,4,0.216,0.638,0.854,0,0.0357,-4.664,0.859,93.869
country,5,0,4,0.342,0.703,0.594,0,0.123,-6.146,0.475,153.848
country,9,1,4,0.0251,0.554,0.743,0,0.359,-6.016,0.673,72.997
country,7,1,3,0.143,0.375,0.574,0,0.11,-5.305,0.406,132.025
country,4,1,4,0.582,0.651,0.708,0,0.0796,-4.791,0.558,119.964
country,9,1,4,0.0669,0.847,0.678,0,0.274,-8.635,0.811,97.984
country,2,1,4,0.1,0.692,0.809,9.77E-05,0.185,-5.935,0.927,104.023
country,7,1,4,0.162,0.681,0.726,0,0.119,-5.1,0.819,84.98
country,6,0,4,0.00585,0.544,0.781,0,0.191,-6.16,0.527,144.075
country,2,1,4,0.115,0.545,0.884,0.000424,0.0496,-5.208,0.272,110.015
country,4,1,4,0.363,0.607,0.514,0,0.258,-6.631,0.414,75.978
country,9,1,4,0.0986,0.547,0.817,0,0.136,-4.255,0.592,142.118
country,9,1,4,0.478,0.462,0.512,0,0.0993,-5.443,0.29,114.014
country,10,1,4,0.401,0.671,0.617,0,0.119,-8.72,0.62,147.986
country,7,1,4,0.076,0.574,0.58,0,0.12,-6.091,0.4,149.97
country,2,1,4,0.0793,0.519,0.872,0,0.111,-3.212,0.74,179.965
country,6,1,4,0.355,0.396,0.51,0,0.113,-6.274,0.299,113.994
country,4,0,4,0.0135,0.433,0.928,2.01E-06,0.32,-5.117,0.552,155.938
country,6,1,4,0.396,0.504,0.838,0,0.195,-2.703,0.569,146.065
country,5,1,4,0.0636,0.593,0.805,0,0.226,-4.892,0.845,103.955
country,2,1,4,0.0963,0.63,0.754,0,0.268,-3.564,0.73,95.999
country,5,1,4,0.355,0.62,0.443,0,0.108,-7.984,0.339,141.976
country,11,1,4,0.00566,0.6,0.851,9.78E-06,0.0891,-4.645,0.727,98.007
country,7,1,4,0.0317,0.711,0.774,0,0.124,-4.068,0.939,111.016
country,9,1,4,0.0563,0.596,0.834,0,0.0866,-4.308,0.618,116
country,2,1,3,0.563,0.516,0.745,0,0.275,-8.352,0.825,186.004
country,6,1,4,0.593,0.725,0.437,0,0.0842,-9.602,0.759,83.985
country,2,1,3,0.235,0.461,0.437,7.10E-06,0.121,-8.285,0.194,128.132
country,7,1,4,0.0763,0.563,0.688,0,0.0863,-4.474,0.622,108.008
country,7,1,4,0.169,0.612,0.621,0,0.137,-5.657,0.883,185.857
